,NAME,income 75K-end,S0601_C01_046E.1,income 50-65K,Health Support,Architectural engineering,Community and Social,Life/Social/Physical science,income 10-15K,Production Occupation,income 15-25K,Fire Fighting,income 65-75K,Construcation & Extraction,income 35-50K,educational attainment,income 25-35K,Transportation,income 0-10K,Computer engineer/science,Sales,Health Technical,Personal care and service,median income,Management income,Health Diagnosing,Busineess Finance Operations,Computer and Math,Office Administrative,"Installation, maintenance, repair",Education,Material Moving,"Arts,sports,design",Building/Grounds Maintenance,"Farming, fishing, forestry",Law Enforcement,Legal,Food Service,state,county,Unnamed: 40
0,"Baldwin County, Alabama",10.2,10.2,6.4,19607,63883,50823,55123,12,40848,15,49063,3.4,30108,12.5,19,12,34659,17.3,63576,23453,30984,19578,30475,71233,59951,47644,76309,26306,40686,31642,30627,34421,16444,-666666666,49908,33155,11673,1,3,
1,"Calhoun County, Alabama",5.7,5.7,7.1,16235,42099,35317,46989,13.6,35627,16.2,18041,2.9,25609,11.6,9.5,10,23269,21.7,47244,15889,32459,11307,26140,63804,40428,51902,50576,25646,31448,25852,25321,40258,16634,50451,35842,-666666666,11291,1,15,
2,"Cullman County, Alabama",5.3,5.3,6.3,21231,62176,31833,-666666666,10.4,31782,18.4,19715,2.9,38617,10.8,6.5,8.8,37188,15.3,66938,18923,27389,4726,30996,68664,66250,37367,67037,25791,36470,40991,30560,12547,17529,45772,52516,-666666666,12885,1,43,
3,"DeKalb County, Alabama",4.3,4.3,6.2,16371,95175,16787,-666666666,12.1,26784,16.8,-666666666,1.7,30020,12.5,4.9,9,34475,18.2,41759,18071,42777,30068,27028,40042,62222,51302,42268,23571,52167,51329,25280,11602,17551,2499,31708,73398,11962,1,49,
4,"Elmore County, Alabama",8.3,8.3,10.3,13327,86462,40596,-666666666,9.3,40701,11.5,51283,3.5,27303,10.6,12.7,12.2,48295,18.7,75909,30090,21438,3605,35565,51557,53750,45525,76641,31310,36701,45349,14298,36741,14057,6774,45357,17357,14008,1,51,
5,"Etowah County, Alabama",5.3,5.3,8.3,19026,51615,38266,40969,11.9,27651,18.4,17930,2.2,27244,12.2,10.4,11.9,40953,17.1,50036,20044,39694,13902,28438,45143,71181,49669,41295,26647,36807,19132,26455,30823,17088,10413,51500,49375,11617,1,55,
6,"Houston County, Alabama",8,8,6.5,20411,74583,30744,62955,10.8,28995,16.7,36935,1.9,30450,11.7,12.4,12.1,31920,18.4,61536,23217,24668,17192,28716,47235,52378,37131,49384,25294,40967,36672,27656,34924,16846,21466,39737,30625,10638,1,69,
7,"Jefferson County, Alabama",10.5,10.5,9.2,20230,71500,40722,48180,9.1,37007,15.5,24020,3.5,25332,11.8,16.7,10.3,35083,17.7,61134,26718,40796,15156,34374,64707,52337,60453,65231,28346,43047,46164,21713,42572,15702,16868,45141,100328,12083,1,73,
8,"Lauderdale County, Alabama",7.8,7.8,6.6,30679,64270,41362,100348,13.4,35440,14.8,35049,3.6,38833,12,10.9,11.4,32270,17.6,69405,25962,21263,9963,28348,43351,51284,50048,89728,21496,35375,36140,28605,9481,28023,-666666666,24794,110679,10389,1,77,
9,"Lee County, Alabama",8.4,8.4,6.9,23750,57425,32831,40137,8.2,30012,11.9,17048,3.9,21959,13.1,21.6,9.6,35527,22.8,50932,30761,30518,10424,31964,57782,61933,66711,37230,23309,36165,38338,30366,15583,30817,-666666666,39325,36771,8825,1,81,
10,"Limestone County, Alabama",11.8,11.8,7.3,12481,99497,35725,-666666666,9.9,31676,12.5,46136,2.2,25895,12.2,10.8,9.8,40031,15.2,98704,20645,22500,11450,35543,51988,50472,66967,89225,30999,41575,35069,17405,16981,13031,-666666666,78237,41938,10066,1,83,
11,"Madison County, Alabama",15.8,15.8,7.3,20207,98680,35653,76522,8.3,27009,14.5,18163,3.3,25499,10.4,21.5,10.2,24745,15.4,87997,23949,33629,17000,35514,80603,54352,73574,73463,25584,32762,34984,21670,33750,17329,29337,50246,45045,11926,1,89,
12,"Marshall County, Alabama",6.6,6.6,7.4,18214,101983,28233,49375,11.6,33501,15.4,17000,1.9,20830,11.2,11.1,12.7,38922,18.9,87964,23978,25208,10653,26448,46190,50098,51159,70875,23306,31285,21029,11681,16004,12618,16973,30763,36250,8094,1,95,
13,"Mobile County, Alabama",7.5,7.5,7.3,22299,75070,38503,45703,10.4,35547,16.3,16375,2.2,28507,12,14.1,11,31061,17.4,62186,21007,32227,16731,30933,55629,50856,45859,50869,28034,35221,33833,20942,40747,17509,30227,31243,49792,11651,1,97,
14,"Montgomery County, Alabama",9.3,9.3,7,19829,47508,45914,39464,9.5,27544,15,18538,2.9,30176,11.1,14.9,11.1,35499,19.9,52380,20814,28292,16774,30318,61174,60990,49015,56858,28436,33894,41343,22746,26640,20317,28339,44463,49144,11306,1,101,
15,"Morgan County, Alabama",8.8,8.8,8.5,26198,56917,26817,55615,10.1,31646,14.5,43504,1.9,25834,10.9,11.8,14.6,41700,17.1,66250,17132,30442,14000,30723,61111,45073,47724,90617,29020,43712,32347,26604,23594,17118,-666666666,35392,54588,10254,1,103,
16,"St. Clair County, Alabama",7.4,7.4,11.7,37957,67929,15963,-666666666,8.8,41889,14.3,55324,2.6,33325,12.8,7.2,10.2,39750,15.4,69718,30090,52075,17699,37495,62033,57217,50957,81655,33696,45107,40855,20877,30417,17074,77383,24811,57657,15422,1,115,
17,"Shelby County, Alabama",17.2,17.2,10.2,21170,80828,48114,46216,7.4,40917,10.9,43587,3.7,27283,12.2,24.7,10.1,37533,15.2,80242,36276,25960,9764,41584,86608,61449,62490,81007,28600,50817,42042,22002,55156,19873,19076,49833,107507,10582,1,117,
18,"Talladega County, Alabama",-999999999,-999999999,-999999999,9836,69638,33583,-666666666,-999999999,31901,-999999999,11076,-999999999,21927,-999999999,10.1,-999999999,35615,-999999999,69320,20123,40122,18217,32476,52153,41554,44391,80244,32478,32136,41905,30433,65250,15044,-666666666,-666666666,41204,10163,1,121,
19,"Tuscaloosa County, Alabama",9,9,7.7,25234,81113,44534,22026,9,27215,14.3,12837,2.2,30435,10.6,18.6,10.7,34020,21.7,66250,29990,35380,9567,31420,72535,54202,42371,51511,25028,55093,41933,23162,47682,30047,-666666666,33684,30773,11022,1,125,
20,"Walker County, Alabama",5.5,5.5,6.9,20292,60139,50595,-666666666,13.6,26074,15,28306,2,46478,11.3,6.2,8.4,43250,21.2,64468,12466,25833,15408,31377,41167,60222,73704,140130,30724,41675,38878,12344,9635,12387,-666666666,46078,-666666666,10335,1,127,
21,"Anchorage Municipality, Alaska",19.2,19.2,9.7,35080,79315,52721,50789,6.4,30630,11.9,35772,5.9,51298,12.4,22.1,12.1,42229,17.1,70589,27283,41362,21715,41299,71930,84235,56052,69866,35614,39952,51412,30607,31250,20665,40166,62464,66829,19102,2,20,
22,"Fairbanks North Star Borough, Alaska",16.5,16.5,9.1,20664,71991,52551,66161,6,31232,11.5,60654,6,50765,15.5,24.8,11.1,53291,19.2,52083,17188,50552,22346,38542,67111,61683,70492,41716,30998,70932,40601,9656,26462,21581,-666666666,105307,55485,6818,2,90,
