,NAME,Median Household,state,county,Unnamed: 4
0,"Baldwin County, Alabama",48378,1,3,
1,"Calhoun County, Alabama",39169,1,15,
2,"Cullman County, Alabama",37287,1,43,
3,"DeKalb County, Alabama",38445,1,49,
4,"Elmore County, Alabama",53328,1,51,
5,"Etowah County, Alabama",34264,1,55,
6,"Houston County, Alabama",40409,1,69,
7,"Jefferson County, Alabama",43959,1,73,
8,"Lauderdale County, Alabama",41908,1,77,
9,"Lee County, Alabama",45043,1,81,
10,"Limestone County, Alabama",47999,1,83,
11,"Madison County, Alabama",56839,1,89,
12,"Marshall County, Alabama",36197,1,95,
13,"Mobile County, Alabama",39691,1,97,
14,"Montgomery County, Alabama",41807,1,101,
15,"Morgan County, Alabama",45051,1,103,
16,"St. Clair County, Alabama",51859,1,115,
17,"Shelby County, Alabama",65728,1,117,
18,"Talladega County, Alabama",31547,1,121,
19,"Tuscaloosa County, Alabama",41139,1,125,
20,"Walker County, Alabama",35330,1,127,
21,"Anchorage Municipality, Alaska",72575,2,20,
22,"Fairbanks North Star Borough, Alaska",66539,2,90,
23,"Matanuska-Susitna Borough, Alaska",67486,2,170,
24,"Apache County, Arizona",33867,4,1,
25,"Cochise County, Arizona",43252,4,3,
26,"Coconino County, Arizona",45640,4,5,
27,"Maricopa County, Arizona",51432,4,13,
28,"Mohave County, Arizona",34445,4,15,
29,"Navajo County, Arizona",34298,4,17,
30,"Pima County, Arizona",44762,4,19,
31,"Pinal County, Arizona",50515,4,21,
32,"Yavapai County, Arizona",44035,4,25,
33,"Yuma County, Arizona",39485,4,27,
34,"Benton County, Arkansas",52294,5,7,
35,"Craighead County, Arkansas",44111,5,31,
36,"Faulkner County, Arkansas",49752,5,45,
37,"Garland County, Arkansas",40893,5,51,
38,"Jefferson County, Arkansas",36275,5,69,
39,"Lonoke County, Arkansas",51098,5,85,
40,"Pulaski County, Arkansas",44437,5,119,
41,"Saline County, Arkansas",58009,5,125,
42,"Sebastian County, Arkansas",37330,5,131,
43,"Washington County, Arkansas",41225,5,143,
44,"White County, Arkansas",38853,5,145,
45,"Alameda County, California",70500,6,1,
46,"Butte County, California",40960,6,7,
47,"Contra Costa County, California",74177,6,13,
48,"El Dorado County, California",69973,6,17,
49,"Fresno County, California",41627,6,19,
50,"Humboldt County, California",40682,6,23,
51,"Imperial County, California",40200,6,25,
52,"Kern County, California",45910,6,29,
53,"Kings County, California",45935,6,31,
54,"Lake County, California",33219,6,33,
55,"Los Angeles County, California",53001,6,37,
56,"Madera County, California",42039,6,39,
57,"Marin County, California",90535,6,41,
58,"Mendocino County, California",41369,6,45,
59,"Merced County, California",43597,6,47,
60,"Monterey County, California",58109,6,53,
61,"Napa County, California",68553,6,55,
62,"Nevada County, California",53768,6,57,
63,"Orange County, California",71983,6,59,
64,"Placer County, California",69086,6,61,
65,"Riverside County, California",52621,6,65,
66,"Sacramento County, California",52667,6,67,
67,"San Bernardino County, California",50770,6,71,
68,"San Diego County, California",60330,6,73,
69,"San Francisco County, California",73012,6,75,
70,"San Joaquin County, California",50722,6,77,
71,"San Luis Obispo County, California",60264,6,79,
72,"San Mateo County, California",81609,6,81,
73,"Santa Barbara County, California",61890,6,83,
74,"Santa Clara County, California",91425,6,85,
75,"Santa Cruz County, California",67769,6,87,
76,"Shasta County, California",45442,6,89,
77,"Solano County, California",62066,6,95,
78,"Sonoma County, California",59941,6,97,
79,"Stanislaus County, California",46405,6,99,
80,"Sutter County, California",47081,6,101,
81,"Tulare County, California",40302,6,107,
82,"Ventura County, California",71517,6,111,
83,"Yolo County, California",50594,6,113,
84,"Yuba County, California",43545,6,115,
85,"Adams County, Colorado",55863,8,1,
86,"Arapahoe County, Colorado",60443,8,5,
87,"Boulder County, Colorado",66989,8,13,
88,"Denver County, Colorado",50488,8,31,
89,"Douglas County, Colorado",95324,8,35,
90,"El Paso County, Colorado",55217,8,41,
91,"Jefferson County, Colorado",67512,8,59,
92,"Larimer County, Colorado",55890,8,69,
93,"Mesa County, Colorado",45892,8,77,
94,"Pueblo County, Colorado",41262,8,101,
95,"Weld County, Colorado",55357,8,123,
96,"Fairfield County, Connecticut",79841,9,1,
97,"Hartford County, Connecticut",63536,9,3,
98,"Litchfield County, Connecticut",67658,9,5,
99,"Middlesex County, Connecticut",74484,9,7,
100,"New Haven County, Connecticut",59271,9,9,
101,"New London County, Connecticut",66603,9,11,
102,"Tolland County, Connecticut",75238,9,13,
103,"Windham County, Connecticut",54098,9,15,
104,"Kent County, Delaware",52894,10,1,
105,"New Castle County, Delaware",62157,10,3,
106,"Sussex County, Delaware",49471,10,5,
107,"District of Columbia, District of Columbia",66583,11,1,
108,"Alachua County, Florida",41669,12,1,
109,"Bay County, Florida",46005,12,5,
110,"Brevard County, Florida",46162,12,9,
111,"Broward County, Florida",49793,12,11,
112,"Charlotte County, Florida",45247,12,15,
113,"Citrus County, Florida",39322,12,17,
114,"Clay County, Florida",54827,12,19,
115,"Collier County, Florida",54126,12,21,
116,"Columbia County, Florida",36542,12,23,
117,"Duval County, Florida",43449,12,31,
118,"Escambia County, Florida",45009,12,33,
119,"Flagler County, Florida",42856,12,35,
120,"Hernando County, Florida",36515,12,53,
121,"Highlands County, Florida",34733,12,55,
122,"Hillsborough County, Florida",46515,12,57,
123,"Indian River County, Florida",40413,12,61,
124,"Lake County, Florida",41083,12,69,
125,"Lee County, Florida",46278,12,71,
126,"Leon County, Florida",46443,12,73,
127,"Manatee County, Florida",47474,12,81,
128,"Marion County, Florida",37098,12,83,
129,"Martin County, Florida",44821,12,85,
130,"Miami-Dade County, Florida",41400,12,86,
131,"Monroe County, Florida",53637,12,87,
132,"Nassau County, Florida",53230,12,89,
133,"Okaloosa County, Florida",52787,12,91,
134,"Orange County, Florida",45624,12,95,
135,"Osceola County, Florida",42915,12,97,
136,"Palm Beach County, Florida",51278,12,99,
137,"Pasco County, Florida",42704,12,101,
138,"Pinellas County, Florida",44927,12,103,
139,"Polk County, Florida",41325,12,105,
140,"Putnam County, Florida",34025,12,107,
141,"St. Johns County, Florida",61288,12,109,
142,"St. Lucie County, Florida",41785,12,111,
143,"Santa Rosa County, Florida",61031,12,113,
144,"Sarasota County, Florida",48035,12,115,
145,"Seminole County, Florida",54986,12,117,
146,"Sumter County, Florida",45173,12,119,
147,"Volusia County, Florida",40106,12,127,
148,"Barrow County, Georgia",47582,13,13,
149,"Bartow County, Georgia",46187,13,15,
150,"Bibb County, Georgia",36120,13,21,
151,"Bulloch County, Georgia",35856,13,31,
152,"Carroll County, Georgia",43134,13,45,
153,"Catoosa County, Georgia",42251,13,47,
154,"Chatham County, Georgia",42390,13,51,
155,"Cherokee County, Georgia",66993,13,57,
156,"Clarke County, Georgia",32571,13,59,
157,"Clayton County, Georgia",36804,13,63,
158,"Cobb County, Georgia",63069,13,67,
159,"Columbia County, Georgia",68118,13,73,
160,"Coweta County, Georgia",61414,13,77,
161,"DeKalb County, Georgia",49093,13,89,
162,"Dougherty County, Georgia",30532,13,95,
163,"Douglas County, Georgia",49981,13,97,
164,"Fayette County, Georgia",77670,13,113,
165,"Floyd County, Georgia",37841,13,115,
166,"Forsyth County, Georgia",85494,13,117,
167,"Fulton County, Georgia",55369,13,121,
168,"Glynn County, Georgia",44708,13,127,
169,"Gwinnett County, Georgia",56423,13,135,
170,"Hall County, Georgia",49737,13,139,
171,"Henry County, Georgia",55695,13,151,
172,"Houston County, Georgia",54457,13,153,
173,"Liberty County, Georgia",42990,13,179,
174,"Lowndes County, Georgia",37165,13,185,
175,"Muscogee County, Georgia",45178,13,215,
176,"Newton County, Georgia",48974,13,217,
177,"Paulding County, Georgia",57332,13,223,
178,"Richmond County, Georgia",37154,13,245,
179,"Rockdale County, Georgia",50200,13,247,
180,"Troup County, Georgia",36739,13,285,
