"NAME","DP03_0062E","state","county",
"Baldwin County, Alabama","48461","01","003",
"Calhoun County, Alabama","41428","01","015",
"Cullman County, Alabama","38261","01","043",
"DeKalb County, Alabama","35023","01","049",
"Elmore County, Alabama","55530","01","051",
"Etowah County, Alabama","40529","01","055",
"Houston County, Alabama","39543","01","069",
"Jefferson County, Alabama","44646","01","073",
"Lauderdale County, Alabama","40309","01","077",
"Lee County, Alabama","39932","01","081",
"Limestone County, Alabama","49672","01","083",
"Madison County, Alabama","58339","01","089",
"Marshall County, Alabama","33446","01","095",
"Mobile County, Alabama","43642","01","097",
"Montgomery County, Alabama","43346","01","101",
"Morgan County, Alabama","44708","01","103",
"St. Clair County, Alabama","50146","01","115",
"Shelby County, Alabama","67754","01","117",
"Talladega County, Alabama","39971","01","121",
"Tuscaloosa County, Alabama","47531","01","125",
"Walker County, Alabama","35495","01","127",
"Anchorage Municipality, Alaska","76337","02","020",
"Fairbanks North Star Borough, Alaska","69820","02","090",
"Matanuska-Susitna Borough, Alaska","73831","02","170",
"Apache County, Arizona","33076","04","001",
"Cochise County, Arizona","45688","04","003",
"Coconino County, Arizona","49757","04","005",
"Maricopa County, Arizona","53896","04","013",
"Mohave County, Arizona","37674","04","015",
"Navajo County, Arizona","34600","04","017",
"Pima County, Arizona","45856","04","019",
"Pinal County, Arizona","49867","04","021",
"Yavapai County, Arizona","44255","04","025",
"Yuma County, Arizona","40008","04","027",
"Benton County, Arkansas","56981","05","007",
"Craighead County, Arkansas","42691","05","031",
"Faulkner County, Arkansas","51650","05","045",
"Garland County, Arkansas","41032","05","051",
"Jefferson County, Arkansas","32433","05","069",
"Lonoke County, Arkansas","54545","05","085",
"Pulaski County, Arkansas","44860","05","119",
"Saline County, Arkansas","53926","05","125",
"Sebastian County, Arkansas","38418","05","131",
"Washington County, Arkansas","45034","05","143",
"White County, Arkansas","39340","05","145",
"Alameda County, California","77214","06","001",
"Butte County, California","42365","06","007",
"Contra Costa County, California","80361","06","013",
"El Dorado County, California","71113","06","017",
"Fresno County, California","43423","06","019",
"Humboldt County, California","40598","06","023",
"Imperial County, California","39290","06","025",
"Kern County, California","47644","06","029",
"Kings County, California","42784","06","031",
"Lake County, California","34529","06","033",
"Los Angeles County, California","55746","06","037",
"Madera County, California","42433","06","039",
"Marin County, California","95749","06","041",
"Mendocino County, California","42660","06","045",
"Merced County, California","44084","06","047",
"Monterey County, California","57864","06","053",
"Napa County, California","74123","06","055",
"Nevada County, California","56917","06","057",
"Orange County, California","76306","06","059",
"Placer County, California","75390","06","061",
"Riverside County, California","57006","06","065",
"Sacramento County, California","55842","06","067",
"San Bernardino County, California","52041","06","071",
"San Diego County, California","66192","06","073",
"San Francisco County, California","85070","06","075",
"San Joaquin County, California","51659","06","077",
"San Luis Obispo County, California","63474","06","079",
"San Mateo County, California","101051","06","081",
"Santa Barbara County, California","63833","06","083",
"Santa Clara County, California","97532","06","085",
"Santa Cruz County, California","65368","06","087",
"Shasta County, California","43706","06","089",
"Solano County, California","67999","06","095",
"Sonoma County, California","67771","06","097",
"Stanislaus County, California","51084","06","099",
"Sutter County, California","54433","06","101",
"Tulare County, California","42611","06","107",
"Ventura County, California","75449","06","111",
"Yolo County, California","53765","06","113",
"Yuba County, California","42143","06","115",
"Adams County, Colorado","59659","08","001",
"Arapahoe County, Colorado","65327","08","005",
"Boulder County, Colorado","71540","08","013",
"Denver County, Colorado","54941","08","031",
"Douglas County, Colorado","103226","08","035",
"El Paso County, Colorado","59446","08","041",
"Jefferson County, Colorado","70714","08","059",
"Larimer County, Colorado","56575","08","069",
"Mesa County, Colorado","50174","08","077",
"Pueblo County, Colorado","41047","08","101",
"Weld County, Colorado","62083","08","123",
"Fairfield County, Connecticut","85925","09","001",
"Hartford County, Connecticut","65894","09","003",
"Litchfield County, Connecticut","73756","09","005",
"Middlesex County, Connecticut","75876","09","007",
"New Haven County, Connecticut","60391","09","009",
"New London County, Connecticut","66148","09","011",
"Tolland County, Connecticut","78786","09","013",
"Windham County, Connecticut","59195","09","015",
"Kent County, Delaware","55227","10","001",
"New Castle County, Delaware","64801","10","003",
"Sussex County, Delaware","55011","10","005",
"District of Columbia, District of Columbia","71648","11","001",
"Alachua County, Florida","45228","12","001",
"Bay County, Florida","44775","12","005",
"Brevard County, Florida","47907","12","009",
"Broward County, Florida","51608","12","011",
"Charlotte County, Florida","43039","12","015",
"Citrus County, Florida","35671","12","017",
"Clay County, Florida","58153","12","019",
"Collier County, Florida","58026","12","021",
"Columbia County, Florida","38520","12","023",
"Duval County, Florida","45779","12","031",
"Escambia County, Florida","46655","12","033",
"Flagler County, Florida","51622","12","035",
"Hernando County, Florida","40255","12","053",
"Highlands County, Florida","36120","12","055",
"Hillsborough County, Florida","50796","12","057",
"Indian River County, Florida","46238","12","061",
"Lake County, Florida","47191","12","069",
"Lee County, Florida","49055","12","071",
"Leon County, Florida","44824","12","073",
"Manatee County, Florida","52031","12","081",
"Marion County, Florida","39958","12","083",
"Martin County, Florida","55866","12","085",
"Miami-Dade County, Florida","42926","12","086",
"Monroe County, Florida","59388","12","087",
"Nassau County, Florida","52249","12","089",
"Okaloosa County, Florida","57640","12","091",
"Orange County, Florida","47055","12","095",
"Osceola County, Florida","42899","12","097",
"Palm Beach County, Florida","52203","12","099",
"Pasco County, Florida","45349","12","101",
"Pinellas County, Florida","45152","12","103",
"Polk County, Florida","42780","12","105",
"Putnam County, Florida","30765","12","107",
"St. Johns County, Florida","65976","12","109",
"St. Lucie County, Florida","42359","12","111",
"Santa Rosa County, Florida","60317","12","113",
"Sarasota County, Florida","52109","12","115",
"Seminole County, Florida","56322","12","117",
"Sumter County, Florida","50942","12","119",
"Volusia County, Florida","40818","12","127",
"Barrow County, Georgia","47834","13","013",
"Bartow County, Georgia","53675","13","015",
"Bibb County, Georgia","35397","13","021",
"Bulloch County, Georgia","32841","13","031",
"Carroll County, Georgia","40744","13","045",
"Catoosa County, Georgia","52412","13","047",
"Chatham County, Georgia","50718","13","051",
"Cherokee County, Georgia","69711","13","057",
"Clarke County, Georgia","29996","13","059",
"Clayton County, Georgia","43287","13","063",
"Cobb County, Georgia","67043","13","067",
"Columbia County, Georgia","66925","13","073",
"Coweta County, Georgia","59506","13","077",
"DeKalb County, Georgia","50542","13","089",
"Dougherty County, Georgia","31755","13","095",
"Douglas County, Georgia","54826","13","097",
"Fayette County, Georgia","77016","13","113",
"Floyd County, Georgia","41752","13","115",
"Forsyth County, Georgia","85639","13","117",
"Fulton County, Georgia","55807","13","121",
"Glynn County, Georgia","47333","13","127",
"Gwinnett County, Georgia","59492","13","135",
"Hall County, Georgia","52519","13","139",
"Henry County, Georgia","58242","13","151",
"Houston County, Georgia","51054","13","153",
"Liberty County, Georgia","41812","13","179",
"Lowndes County, Georgia","38733","13","185",
"Muscogee County, Georgia","42176","13","215",
"Newton County, Georgia","46790","13","217",
